,integer,boolean,,x16,x,assign_abs16_r8,deststaticvar,a;b;c;d;e;h;l,,,a;f,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,integer,boolean,,x16,x,assign_rel16_r8,destrelvar,a;b;c;d;e;h;l,,,,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,word,x8,,x16,x,assign_abs16_r8,deststaticvar,a;b;c;d;e;h;l,,,a;f,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,word,x8,,x16,x,assign_rel16_r8,destrelvar,a;b;c;d;e;h;l,,,,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,word,x16,,x16,x,empty,,hl;de;bc,,p1,,empty,empty,empty,empty,empty,
,word,boolean,,x16,x,assign_abs16_r8,deststaticvar,a;b;c;d;e;h;l,,,a;f,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,word,boolean,,x16,x,assign_rel16_r8,destrelvar,a;b;c;d;e;h;l,,,,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,pointer,x8,,x16,x,assign_abs16_r8,deststaticvar,a;b;c;d;e;h;l,,,a;f,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,pointer,x8,,x16,x,assign_rel16_r8,destrelvar,a;b;c;d;e;h;l,,,,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,pointer,x16,,x16,x,empty,,hl;de;bc,,p1,,empty,empty,empty,empty,empty,
,pointer,boolean,,x16,x,assign_abs16_r8,deststaticvar,a;b;c;d;e;h;l,,,a;f,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,pointer,boolean,,x16,x,assign_rel16_r8,destrelvar,a;b;c;d;e;h;l,,,,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,int8,x8,,x8,x,empty,,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,
,int8,x16,,x8,x,empty,loadrplow,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,Typecast 16 bit to 8 bit. High byte will be ignored
,int8,boolean,,x8,x,empty,,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,
,byte,x8,,x8,x,empty,,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,
,byte,x16,,x8,x,empty,loadrplow,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,Typecast 16 bit to 8 bit. High byte will be ignored
,byte,boolean,,x8,x,empty,,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,
,boolean,x8,,boolean,x,empty,,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,
,boolean,x16,,boolean,x,empty,loadrplow,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,Typecast 16 bit to 8 bit. High byte will be ignored
,boolean,boolean,,boolean,x,empty,,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,
,char,x8,,x8,x,empty,,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,
,char,x16,,x8,x,empty,loadrplow,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,Typecast 16 bit to 8 bit. High byte will be ignored
,char,boolean,,x8,x,empty,,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,
;,,,,,,,,,,,,,,,,,
;,Intrinsics (I.e. small operations mostly enacted via CPU instructions),,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,abs,x16,,s16,x,:abs_hl_with_overflow,,hl,,hl,a;f;h;l,nc_overflow,,,,,
;,dec,u8,,u8,x,procdec8r,,a;b;c;d;e;h;l,,p1,f,empty,,,,,
;,dec,s8,,s8,x,procdec8r,,a;b;c;d;e;h;l,,p1,f,empty,,,,,
;,dec,u16,,u16,x,procdec16r,,hl;de;bc,,p1,,empty,,,,,
;,dec,s16,,s16,x,procdec16r,,hl;de;bc,,p1,,empty,,,,,
;,inc,u8,,u8,x,procinc8r,,a;b;c;d;e;h;l,,p1,f,empty,,,,,
;,inc,s8,,s8,x,procinc8r,,a;b;c;d;e;h;l,,p1,f,empty,,,,,
;,inc,u16,,u16,x,procinc16r,,hl;de;bc,,p1,,empty,,,,,
;,inc,s16,,s16,x,procinc16r,,hl;de;bc,,p1,,empty,,,,,
;,odd,x8,,branch,x,odd8r_branch,,a,,cf,a;f,,,,,,
;,odd,x16,,branch,x,odd8r_branch,loadrplow,a,,cf,a;f,,,,,,
;,odd,x8,,boolean,x,odd8r,,a,,a,a;f,,,,,,
;,odd,x16,,boolean,x,odd8r,loadrplow,a,,a,a;f,,,,,,
;,hi,x16,,u8,x,empty,loadrphigh,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,
;,hi,u16,,u8,x,empty,loadrphigh,a;b;c;d;e;h;l,,p1,,empty,empty,empty,empty,empty,
